Address;Changed Use;City;Completed Date;Completed Month;Completed Year;Description;Existing Use;Filed Date;Issued Date;Issued Month;Issued Year;Neighborhoods Boundaries;Permit Expiration Date;Permit Number;Permit Type;Proposed Construction Type Description;Proposed Use;Record Id;State;Zipcode;Estimated Cost;Estimated Revised Diff;Filed Issued Days;Issued Completed Days;Issued Completed Years;Issued Expiration Days;Latitude;Longitude;Number of Records;Revised Cost
1355 Market St,San Francisco,CA,94103;True;San Francisco;30.06.2015;Jun;2015;t/i renovation of an (e) commercial space to include a new restaurant include a kitchen, bar, lounge areas, dining rm and exhibition kitchen, patrons will have access to share men's and women's restroom includes employee rest room - no compliance with maher ordinance;office;24.06.2014;30.12.2014;Dec;2014;South of Market;14.12.2017;201406249278;additions alterations or repairs;constr_type_1;food/beverage hndlng;1346414347127;CA;94103;450000;142001,03;189;182;1;1080;37,7762395;-122,4168763;1;592001,03
1155 Bryant St,San Francisco,CA,94103;True;San Francisco;17.11.2017;Nov;2017;remodel, retrofit & ada upgrade to include: remove (e) wood framed offices  + storage, add (2) new floors (3 total).add elevator,egress stair, (n) internor stai, remove (e) exteirior siding covering (e) exterior windows, add bathrooms. change construction from type v to iiib. ** maher: n/a **;warehouse,no frnitur;23.12.2014;3.12.2015;Dec;2015;South of Market;17.11.2018;201412234406;additions alterations or repairs;constr_type_3;manufacturing;1366027156861;CA;94103;450000;1750000;345;715;2;1080;37,77051365;-122,4090881;1;2200000
4061 Cesar Chavez St,San Francisco,CA,94131;True;San Francisco;19.08.2019;Aug;2019;renovate (e) single family 2-story home to 2-unit, 4-story building w/ vertical & horizontal addition.;1 family dwelling;8.11.2016;27.02.2018;Feb;2018;Noe Valley;11.02.2021;201611082235;additions alterations or repairs;wood_frame_5;2 family dwelling;1443678208095;CA;94131;450000;290000;476;538;1;1080;37,7473451;-122,430552910;1;740000
4063 Cesar Chavez St,San Francisco,CA,94131;True;San Francisco;19.08.2019;Aug;2019;renovate (e) single family 2-story home to 2-unit, 4-story building w/ vertical & horizontal addition.;1 family dwelling;8.11.2016;27.02.2018;Feb;2018;Noe Valley;11.02.2021;201611082235;additions alterations or repairs;wood_frame_5;2 family dwelling;1498536510795;CA;94131;450000;290000;476;538;1;1080;37,7473451;-122,430552910;1;740000
1667 Market St,San Francisco,CA,94103;True;San Francisco;1.04.2002;Apr;2002;convert 2nd floor from retail to office/add mezzanine at 2nd floor;retail sales;24.07.2000;3.04.2001;Apr;2001;Mission;3.04.2003;200007245947;additions alterations or repairs;constr_type_3;office;824873374709;CA;94103;450000;150000;253;363;1;730;37,7813537;-122,4113456;1;600000
1145 Market St,San Francisco,CA,94103;True;San Francisco;20.01.2004;Jan;2004;oti-1 9th floor, le, me, ls, sp;office;1.08.2003;11.12.2003;Dec;2003;South of Market;11.12.2005;200308010996;additions alterations or repairs;constr_type_1;school;951836164311;CA;94103;450000;150000;132;40;1;731;37,77948;-122,4133072;1;600000
2235 Mission St,San Francisco,CA,94110;True;San Francisco;30.03.2009;Mar;2009;addition of 6 residential units in 3 new stories on top of a seismically upgraded commercial space( 6 units over commercial);retail sales;11.05.2004;3.04.2006;Apr;2006;Mission;3.10.2008;200405113608;additions alterations or repairs;wood_frame_5;apartments;979255160595;CA;94110;450000;800000;692;1092;3;914;37,76120195;-122,419019318;1;1250000
1 Front St,San Francisco,CA,94111;True;San Francisco;11.03.2020;Mar;2020;ground floor: construct (n) non-structural partitions, doors, frames, hardwares, electrical, mechanical, ceiling, plumbing & equipment platform, lights to create bank employee cafeteria.;lending institution;28.04.2016;17.08.2016;Aug;2016;Financial District/South Beach;2.08.2019;201604285955;otc alterations permit;constr_type_1;food/beverage hndlng;1421295290888;CA;94111;430620;530380;111;1302;4;1080;37,7918825;-122,398851905;1;961000
345 Locust St,San Francisco,CA,94118;True;San Francisco;16.01.1990;Jan;1990;vertical & horizontal addition;office;25.08.1988;14.04.1989;Apr;1989;Presidio Heights;14.04.1991;8812445;additions alterations or repairs;wood_frame_5;retail sales;86160987064;CA;94118;425000;225000;232;277;1;730;37,788014204;-122,452145184;1;650000
60 Rausch St,San Francisco,CA,94103;True;San Francisco;4.11.2002;Nov;2002;vertical addition;storage shed;25.02.1998;16.11.1998;Nov;1998;South of Market;16.08.2002;;additions alterations or repairs;constr_type_3;artist live/work;657227165297;CA;94103;420000;2578270;264;1449;4;1369;37,7762078;-122,409700788;1;2998270
34 Surrey St,San Francisco,CA,94131;True;San Francisco;17.05.2010;May;2010;change of occupancy from u-1 garage to u-1 garage with 3 stories of r-3 sfd.;prkng garage/private;15.10.2007;20.02.2009;Feb;2009;Glen Park;5.02.2012;200710155451;additions alterations or repairs;wood_frame_5;1 family dwelling;1112555453149;CA;94131;410000;208855;494;451;1;1080;37,735350416;-122,433125152;1;618855
323 Octavia St,San Francisco,CA,94102;True;San Francisco;30.10.2014;Oct;2014;"excavation shoring; soldier beams w/ tiebacks & wood lagging for shoring of temporary excavation; encroachment of tiebacks from excavation shoring into city streets only; no shoring work on adjacent properties. (reference #2012-1005-1462-s)";vacant lot;13.02.2013;22.05.2013;May;2013;Hayes Valley;6.05.2016;201302130154;additions alterations or repairs;constr_type_3;apartments;1305726489796;CA;94102;410000;751852;98;526;1;1080;37,775094429;-122,424408357;1;1161852
